#
## Proficy Historian SDK Data Export 
## Generated: 03/06/2023 09:24:27 AM
## Start Time: 03/02/2023 02:00:00 PM
## End Time: 03/03/2023 10:00:00 AM
## Interval: 60000 milliseconds
## Records Returned: 1200
#
Timestamp, SPLYO.CONDENSER_TEMPERATURE.F_CV, SPLYO.SHELF_OUTLET.F_CV, SPLYO.SHELF_INLET.F_CV, SPLYO.SHELF_SP.F_CV, SPLYO.TC_AVG.F_CV, SPLYO.VACUUM_SP.F_CV, SPLYO.CHAMBER_CM.F_CV, SPLYO.ROUGH_VACUUM.F_CV, SPLYO.CHAMBER_PIRANI.F_CV, SPLYO.CONDENSER_VACUUM.F_CV, SPLYO.CHAMBER_PRESSURE.F_CV
03/02/2023 14:01:00, -66, 17.1, 17, 17.4, 0, 0, 2100, 490, 1047, 2100, -6.0
03/02/2023 14:02:00, -67, 16.5, 16.5, 16.9, 0, 0, 2100, 489, 1047, 2100, -6.0
03/02/2023 14:03:00, -67.5, 16, 16.1, 16.4, 0, 0, 2100, 488, 1047, 2100, -6.0
03/02/2023 14:04:00, -67.7, 15.6, 15.8, 15.9, 0, 0, 2100, 488, 1047, 2100, -6.0
03/02/2023 14:05:00, -67.8, 15.2, 15.3, 15.4, 0, 0, 2100, 488, 1047, 2100, -6.1
03/02/2023 14:06:00, -67.9, 14.8, 14.9, 14.9, 0, 0, 2100, 489, 1047, 2100, -6.1
03/02/2023 14:07:00, -69.2, 14.4, 14.4, 14.4, 0, 0, 2100, 489, 1047, 2100, -6.1
03/02/2023 14:08:00, -71.3, 13.9, 14, 13.9, 0, 0, 2100, 487, 1047, 2100, -6.1
03/02/2023 14:09:00, -72.8, 13.4, 13.5, 13.4, 0, 0, 2100, 488, 1047, 2100, -6.1
03/02/2023 14:10:00, -73.7, 13, 13, 12.9, 0, 0, 2100, 488, 1047, 2100, -6.1
03/02/2023 14:11:00, -74.8, 12.4, 12.5, 12.4, 0, 0, 2100, 486, 1047, 2100, -6.1
03/02/2023 14:12:00, -76, 12, 11.9, 11.9, 0, 0, 2100, 488, 1047, 2100, -6.1
03/02/2023 14:13:00, -77.1, 11.5, 11.4, 11.4, 0, 0, 2100, 487, 1047, 2100, -6.1
03/02/2023 14:14:00, -77.7, 11, 10.8, 10.9, 0, 0, 2100, 488, 1047, 2100, -6.1
03/02/2023 14:15:00, -78.7, 10.4, 10.3, 10.4, 0, 0, 2100, 486, 1047, 2100, -6.1
03/02/2023 14:16:00, -79.5, 9.9, 9.9, 9.9, 0, 0, 2100, 485, 1047, 2100, -6.1
03/02/2023 14:17:00, -80.4, 9.5, 9.4, 9.4, 0, 0, 2100, 486, 1047, 2100, -6.1
03/02/2023 14:18:00, -81.2, 9, 8.9, 8.9, 0, 0, 2100, 486, 1047, 2100, -6.1
03/02/2023 14:19:00, -81.8, 8.5, 8.4, 8.4, 0, 0, 2100, 486, 1047, 2100, -6.1
03/02/2023 14:20:00, -82.4, 8.1, 7.9, 7.9, 0, 0, 2100, 485, 1047, 2100, -6.1
03/02/2023 14:21:00, -82.9, 7.6, 7.5, 7.4, 0, 0, 2100, 484, 1047, 2100, -6.1
03/02/2023 14:22:00, -83.3, 7.1, 7, 6.9, 0, 0, 2100, 485, 1047, 2100, -6.2
03/02/2023 14:23:00, -83.8, 6.6, 6.4, 6.4, 0, 0, 2100, 484, 1047, 2100, -6.1
03/02/2023 14:24:00, -84.3, 6.1, 5.9, 5.9, 0, 0, 2100, 484, 1047, 2100, -6.2
03/02/2023 14:25:00, -84.4, 5.6, 5.4, 5.4, 0, 0, 2100, 482, 1047, 2100, -6.2
03/02/2023 14:26:00, -84.7, 5.1, 4.9, 4.9, 0, 0, 2100, 482, 1047, 2100, -6.2
03/02/2023 14:27:00, -84.8, 4.6, 4.4, 4.4, 0, 0, 2100, 483, 1047, 2100, -6.2
03/02/2023 14:28:00, -84.8, 4.1, 3.9, 3.9, 0, 0, 2100, 483, 1047, 2100, -6.2
03/02/2023 14:29:00, -84.8, 3.6, 3.4, 3.4, 0, 0, 2100, 482, 1047, 2100, -6.2
03/02/2023 14:30:00, -84.8, 3.1, 3, 2.9, 0, 0, 2100, 481, 1047, 2100, -6.2
03/02/2023 14:31:00, -84.7, 2.6, 2.5, 2.4, 0, 0, 2100, 482, 1047, 2100, -6.2
03/02/2023 14:32:00, -84.7, 2.1, 1.9, 1.9, 0, 0, 2100, 480, 1047, 2100, -6.2
03/02/2023 14:33:00, -84.7, 1.6, 1.5, 1.4, 0, 0, 2100, 480, 1047, 2100, -6.2
03/02/2023 14:34:00, -84.6, 1.2, 1, 0.9, 0, 0, 2100, 481, 1047, 2100, -6.2
03/02/2023 14:35:00, -84.7, 0.7, 0.4, 0.4, 0, 0, 2100, 479, 1047, 2100, -6.2
03/02/2023 14:36:00, -84.6, 0.2, -0.1, -0.1, 0, 0, 2100, 479, 1047, 2100, -6.3
03/02/2023 14:37:00, -84.7, -0.3, -0.6, -0.6, 0, 0, 2100, 479, 1047, 2100, -6.3
03/02/2023 14:38:00, -84.7, -0.8, -1, -1.1, 0, 0, 2100, 477, 1047, 2100, -6.3
03/02/2023 14:39:00, -84.7, -1.3, -1.5, -1.6, 0, 0, 2100, 478, 1047, 2100, -6.3
03/02/2023 14:40:00, -84.7, -1.8, -2, -2.1, 0, 0, 2100, 476, 1047, 2100, -6.3
03/02/2023 14:41:00, -84.8, -2.3, -2.6, -2.6, 0, 0, 2100, 477, 1047, 2100, -6.3
03/02/2023 14:42:00, -84.8, -2.8, -3, -3.1, 0, 0, 2100, 476, 1047, 2100, -6.3
03/02/2023 14:43:00, -84.7, -3.3, -3.6, -3.6, 0, 0, 2100, 475, 1047, 2100, -6.3
03/02/2023 14:44:00, -84.8, -3.8, -4.1, -4.1, 0, 0, 2100, 474, 1047, 2100, -6.3
03/02/2023 14:45:00, -84.7, -4.2, -4.5, -4.6, 0, 0, 2100, 473, 1047, 2100, -6.3
03/02/2023 14:46:00, -84.6, -4.7, -5.1, -5.1, 0, 0, 2100, 474, 1047, 2100, -6.3
03/02/2023 14:47:00, -84.5, -5.2, -5.6, -5.6, 0, 0, 2100, 474, 1047, 2100, -6.4
03/02/2023 14:48:00, -84.6, -5.7, -6, -6.1, 0, 0, 2100, 473, 1047, 2100, -6.4
03/02/2023 14:49:00, -84.7, -6.2, -6.6, -6.6, 0, 0, 2100, 473, 1047, 2100, -6.4
03/02/2023 14:50:00, -84.7, -6.7, -7, -7.1, 0, 0, 2100, 473, 1047, 2100, -6.4
03/02/2023 14:51:00, -84.6, -7.2, -7.5, -7.6, 0, 0, 2100, 472, 1047, 2100, -6.4
03/02/2023 14:52:00, -84.6, -7.7, -8.1, -8.1, 0, 0, 2100, 470, 1047, 2100, -6.4
03/02/2023 14:53:00, -84.6, -8.2, -8.6, -8.6, 0, 0, 2100, 472, 1047, 2100, -6.4
03/02/2023 14:54:00, -84.7, -8.7, -9.1, -9.1, 0, 0, 2100, 470, 1047, 2100, -6.4
03/02/2023 14:55:00, -84.6, -9.2, -9.6, -9.6, 0, 0, 2100, 470, 1047, 2100, -6.4
03/02/2023 14:56:00, -84.7, -9.7, -10.1, -10.1, 0, 0, 2100, 469, 1047, 2100, -6.4
03/02/2023 14:57:00, -84.7, -10.2, -10.6, -10.6, 0, 0, 2100, 468, 1047, 2100, -6.4
03/02/2023 14:58:00, -84.7, -10.7, -11.1, -11.1, 0, 0, 2100, 468, 1047, 2100, -6.5
03/02/2023 14:59:00, -84.7, -11.2, -11.6, -11.6, 0, 0, 2100, 467, 1047, 2100, -6.5
03/02/2023 15:00:00, -84.7, -11.7, -12.1, -12.1, 0, 0, 2100, 466, 1047, 2100, -6.5
03/02/2023 15:01:00, -84.7, -12.2, -12.6, -12.6, 0, 0, 2100, 465, 1047, 2100, -6.5
03/02/2023 15:02:00, -84.7, -12.6, -13.1, -13.1, 0, 0, 2100, 466, 1047, 2100, -6.5
03/02/2023 15:03:00, -84.7, -13.1, -13.6, -13.6, 0, 0, 2100, 464, 1047, 2100, -6.5
03/02/2023 15:04:00, -84.8, -13.6, -14, -14.1, 0, 0, 2100, 463, 1047, 2100, -6.5
03/02/2023 15:05:00, -84.8, -14.1, -14.5, -14.6, 0, 0, 2100, 463, 1047, 2100, -6.5
03/02/2023 15:06:00, -84.8, -14.6, -15, -15.1, 0, 0, 2100, 462, 1047, 2100, -6.5
03/02/2023 15:07:00, -84.9, -15.1, -15.5, -15.6, 0, 0, 2100, 462, 1047, 2100, -6.6
03/02/2023 15:08:00, -84.8, -15.6, -16.1, -16.1, 0, 0, 2100, 462, 1047, 2100, -6.6
03/02/2023 15:09:00, -84.8, -16.1, -16.6, -16.6, 0, 0, 2100, 462, 1047, 2100, -6.6
03/02/2023 15:10:00, -84.8, -16.6, -17.1, -17.1, 0, 0, 2100, 460, 1047, 2100, -6.6
03/02/2023 15:11:00, -84.8, -17.1, -17.6, -17.6, 0, 0, 2100, 459, 1047, 2100, -6.6
03/02/2023 15:12:00, -84.7, -17.6, -18, -18.1, 0, 0, 2100, 459, 1047, 2100, -6.6
03/02/2023 15:13:00, -84.8, -18.1, -18.5, -18.6, 0, 0, 2100, 458, 1047, 2100, -6.6
03/02/2023 15:14:00, -84.7, -18.6, -19.1, -19.1, 0, 0, 2100, 458, 1047, 2100, -6.6
03/02/2023 15:15:00, -84.6, -19.1, -19.6, -19.6, 0, 0, 2100, 458, 1047, 2100, -6.6
03/02/2023 15:16:00, -84.7, -19.6, -20.1, -20.1, 0, 0, 2100, 457, 1047, 2100, -6.6
03/02/2023 15:17:00, -84.7, -20, -20.6, -20.6, 0, 0, 2100, 456, 1047, 2100, -6.6
03/02/2023 15:18:00, -84.6, -20.5, -21, -21.1, 0, 0, 2100, 455, 1047, 2100, -6.7
03/02/2023 15:19:00, -84.7, -21, -21.5, -21.6, 0, 0, 2100, 455, 1047, 2100, -6.7
03/02/2023 15:20:00, -84.5, -21.5, -22.1, -22.1, 0, 0, 2100, 454, 1047, 2100, -6.7
03/02/2023 15:21:00, -84.5, -22, -22.5, -22.6, 0, 0, 2100, 454, 1047, 2100, -6.7
03/02/2023 15:22:00, -84.6, -22.5, -23, -23.1, 0, 0, 2100, 454, 1047, 2100, -6.7
03/02/2023 15:23:00, -84.4, -23, -23.5, -23.6, 0, 0, 2100, 453, 1047, 2100, -6.7
03/02/2023 15:24:00, -84.3, -23.5, -24, -24.1, 0, 0, 2100, 451, 1047, 2100, -6.7
03/02/2023 15:25:00, -84.5, -24, -24.5, -24.6, 0, 0, 2100, 451, 1047, 2100, -6.7
03/02/2023 15:26:00, -84.3, -24.5, -25, -25.1, 0, 0, 2100, 450, 1047, 2100, -6.7
03/02/2023 15:27:00, -84.3, -25, -25.6, -25.6, 0, 0, 2100, 451, 1047, 2100, -6.7
03/02/2023 15:28:00, -84.3, -25.5, -26, -26.1, 0, 0, 2100, 450, 1047, 2100, -6.8
03/02/2023 15:29:00, -84.3, -25.9, -26.6, -26.6, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:30:00, -84.3, -26.4, -27.1, -27.1, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:31:00, -84.3, -26.9, -27.6, -27.6, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:32:00, -84.2, -27.4, -28.1, -28.1, 0, 0, 2100, 449, 1047, 2100, -6.8
