Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
0.0,-38.9,999.0,-38.3,-38.9
10.035873,-38.9,999.0,-38.3,-38.9
20.042358,-38.9,999.0,-38.3,-38.9
30.059527,-38.9,999.0,-38.3,-38.9
40.077316,-38.9,999.0,-38.3,-38.9
50.101243,-38.8,999.0,-38.3,-39.1
60.135573,-38.9,999.0,-38.3,-38.9
70.155661,-38.8,999.0,-38.3,-38.9
80.194955,-38.9,999.0,-38.3,-38.9
90.224924,-38.8,999.0,-38.3,-38.9
100.231588,-38.8,999.0,-38.2,-38.9
110.265411,-38.8,999.0,-38.3,-39.0
120.300108,-38.8,999.0,-38.3,-38.9
130.340218,-38.8,999.0,-38.3,-39.0
140.355426,-38.8,999.0,-38.3,-38.9
150.391383,-38.9,999.0,-38.3,-39.0
160.396536,-38.7,999.0,-38.2,-38.9
170.415649,-38.9,999.0,-38.3,-39.0
180.450889,-38.8,999.0,-38.3,-39.0
190.471075,-38.8,999.0,-38.3,-39.0
200.521989,-38.9,999.0,-38.3,-39.0
210.540048,-38.8,999.0,-38.4,-39.2
220.544173,-38.8,999.0,-38.4,-39.0
230.578401,-38.9,999.0,-38.3,-39.3
240.58454,-38.8,999.0,-38.3,-39.2
250.619375,-38.8,999.0,-38.4,-39.1
260.623921,-38.9,999.0,-38.4,-39.3
270.659544,-38.8,999.0,-38.4,-39.1
280.663961,-38.9,999.0,-38.4,-39.3
290.682869,-38.9,999.0,-38.4,-39.1
300.719056,-38.9,999.0,-38.5,-39.3
310.748909,-38.8,999.0,-38.4,-39.3
320.772134,-38.9,999.0,-38.5,-39.1
330.793586,-38.9,999.0,-38.4,-39.1
340.830183,-38.9,999.0,-38.5,-39.1
350.862438,-38.9,999.0,-38.5,-39.1
360.866417,-38.9,999.0,-38.4,-39.2
370.904796,-38.9,999.0,-38.4,-39.3
380.90759,-38.9,999.0,-38.4,-39.1
390.943712,-38.9,999.0,-38.4,-39.3
400.947268,-38.9,999.0,-38.4,-39.1
410.983808,-38.9,999.0,-38.5,-39.1
421.002454,-38.9,999.0,-38.5,-39.3
431.022476,-38.9,999.0,-38.3,-39.1
441.057153,-38.9,999.0,-38.4,-39.1
451.06022,-38.8,999.0,-38.5,-39.1
461.114039,-38.8,999.0,-38.4,-39.3
471.116805,-39.0,999.0,-38.4,-39.1
481.152256,-38.9,999.0,-38.3,-39.1
491.172183,-38.9,999.0,-38.4,-39.1
501.176246,-38.9,999.0,-38.3,-39.3
511.21168,-38.9,999.0,-38.4,-39.1
521.232491,-38.9,999.0,-38.4,-39.3
531.267184,-38.9,999.0,-38.4,-39.0
541.270159,-38.9,999.0,-38.3,-39.1
551.324195,-38.9,999.0,-38.3,-39.1
561.356176,-38.9,999.0,-38.3,-39.1
571.360605,-38.9,999.0,-38.3,-39.1
581.415932,-38.9,999.0,-38.4,-39.3
591.418001,-38.8,999.0,-38.3,-39.1
601.457943,-38.9,999.0,-38.3,-39.1
611.474879,-39.0,999.0,-38.3,-39.3
621.491998,-38.9,999.0,-38.3,-39.1
631.527754,-38.8,999.0,-38.2,-39.1
641.53037,-38.9,999.0,-38.3,-39.0
651.554699,-38.9,999.0,-38.3,-39.3
661.569425,-38.9,999.0,-38.3,-39.2
671.609441,-38.9,999.0,-38.2,-39.3
681.625436,-38.9,999.0,-38.2,-39.0
691.629659,-38.9,999.0,-38.2,-39.1
701.664851,-38.9,999.0,-38.2,-39.2
711.684836,-38.9,999.0,-38.2,-39.1
721.720054,-38.9,999.0,-38.2,-39.3
731.723917,-38.9,999.0,-38.2,-39.3
741.759339,-38.9,999.0,-38.2,-39.0
751.778765,-38.9,999.0,-38.2,-39.0
761.791998,-38.9,999.0,-38.2,-39.0
771.813464,-38.9,999.0,-38.2,-39.1
781.822263,-39.0,999.0,-38.3,-39.1
791.856444,-38.9,999.0,-38.2,-39.1
801.889687,-38.9,999.0,-38.2,-39.1
811.91454,-38.9,999.0,-38.2,-39.3
821.932035,-39.0,999.0,-38.2,-39.3
831.952015,-38.9,999.0,-38.2,-39.0
841.989635,-38.9,999.0,-38.2,-39.1
851.991919,-39.0,999.0,-38.3,-39.1
862.027016,-38.9,999.0,-38.2,-39.1
872.045796,-39.0,999.0,-38.1,-39.3
882.105821,-38.9,999.0,-38.2,-39.3
892.144104,-39.0,999.0,-38.2,-39.1
902.152911,-39.0,999.0,-38.2,-39.2
912.202535,-39.0,999.0,-38.3,-39.1
922.220475,-39.0,999.0,-38.2,-39.1
932.244458,-39.0,999.0,-38.2,-39.1
942.263286,-39.0,999.0,-38.2,-39.1
952.264781,-39.0,999.0,-38.2,-39.3
962.305877,-39.1,999.0,-38.2,-39.3
972.324017,-39.0,999.0,-38.2,-39.3
982.359707,-39.1,999.0,-38.2,-39.1
992.378352,-39.1,999.0,-38.2,-39.1
1002.420351,-39.1,999.0,-38.2,-39.1
1012.443412,-39.1,999.0,-38.2,-39.2
1022.455304,-39.1,999.0,-38.2,-39.3
1032.47204,-39.1,999.0,-38.2,-39.1
1042.476363,-39.1,999.0,-38.0,-39.0
