Size,overflow,overflow_tol,a,d1,d1 tol,d2,d3,d4,h1,h1_tol,h2,h3,h3_tol,r1,r2,s1,s1_tol,s2,t,mass
2R,4,0.5,1,16,0.15,13,10.5,7,35,0.5,22,8,0.5,2.5,1.5,1,0.04,0.6,0.7,4.4
4R,6,0.5,1,16,0.15,13,10.5,7,45,0.5,32,8,0.5,2.5,1.5,1,0.04,0.6,0.7,5.7
6R,10,0.5,1.2,22,0.2,20,16.5,12.6,40,0.5,26,8.5,0.5,3.5,2,1,0.04,0.7,0.7,7.9
8R,11.5,0.5,1.2,22,0.2,20,16.5,12.6,45,0.5,31,8.5,0.5,3.5,2,1,0.04,0.7,0.7,8.7
10R,13.5,1,1.2,24,0.2,20,16.5,12.6,45,0.5,30,9,0.5,4,2,1,0.04,0.7,0.7,9.5
15R,19,1,1.2,24,0.2,20,16.5,12.6,60,0.5,45,9,0.5,4,2,1,0.04,0.7,0.7,12
20R,26,1.5,1.5,30,0.25,20,17.5,12.6,55,0.7,35,10,0.75,5.5,2.5,1.2,0.05,0.7,1,16.2
25R,32.5,1.5,1.5,30,0.25,20,17.5,12.6,65,0.7,45,10,0.75,5.5,2.5,1.2,0.05,0.7,1,18.9
30R,37.5,1.5,1.5,30,0.25,20,17.5,12.6,75,0.7,55,10,0.75,5.5,2.5,1.2,0.05,0.7,1,21.9
50R,62,4,2.5,40,0.4,20,17.5,12.6,73,0.75,49,10,0.75,6,4,1.5,0.07,0.9,1.5,34.5
100R,123,7,3.5,47,0.5,20,17.5,12.6,100,0.75,75,10,0.75,6.5,4,1.7,0.07,0.9,1.5,60
